"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"Fisher"
"GO:1990592"	"protein K69-linked ufmylation"	5	2	0.01	"4.9e-05"
"GO:0061709"	"reticulophagy"	14	2	0.03	"0.00044"
"GO:0070873"	"regulation of glycogen metabolic process"	28	2	0.06	"0.00181"
"GO:0050919"	"negative chemotaxis"	28	2	0.06	"0.00181"
"GO:0002192"	"IRES-dependent translational initiation of linear mRNA"	1	1	0	"0.00228"
"GO:0071377"	"cellular response to glucagon stimulus"	1	1	0	"0.00228"
"GO:0070407"	"oxidation-dependent protein catabolic process"	1	1	0	"0.00228"
"GO:0140367"	"antibacterial innate immune response"	1	1	0	"0.00228"
"GO:0006749"	"glutathione metabolic process"	40	2	0.09	"0.00367"
"GO:1904691"	"negative regulation of type B pancreatic cell proliferation"	2	1	0	"0.00455"
"GO:1905552"	"positive regulation of protein localization to endoplasmic r..."	2	1	0	"0.00455"
"GO:0043470"	"regulation of carbohydrate catabolic process"	48	2	0.11	"0.00526"
"GO:0002526"	"acute inflammatory response"	50	2	0.11	"0.00569"
"GO:0019661"	"glucose catabolic process to lactate via pyruvate"	3	1	0.01	"0.00681"
"GO:1905636"	"positive regulation of RNA polymerase II regulatory region s..."	3	1	0.01	"0.00681"
"GO:1903862"	"positive regulation of oxidative phosphorylation"	3	1	0.01	"0.00681"
"GO:0019244"	"lactate biosynthetic process from pyruvate"	3	1	0.01	"0.00681"
"GO:1905167"	"positive regulation of lysosomal protein catabolic process"	3	1	0.01	"0.00681"
"GO:0006121"	"mitochondrial electron transport, succinate to ubiquinone"	4	1	0.01	"0.00908"
"GO:0048205"	"COPI coating of Golgi vesicle"	4	1	0.01	"0.00908"
