"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"Fisher"
"GO:0002181"	"cytoplasmic translation"	79	23	4.26	"1.3e-11"
"GO:0000027"	"ribosomal large subunit assembly"	23	8	1.24	"1.6e-05"
"GO:0008203"	"cholesterol metabolic process"	95	15	5.13	"0.00016"
"GO:0090303"	"positive regulation of wound healing"	42	9	2.27	"0.00033"
"GO:0006888"	"endoplasmic reticulum to Golgi vesicle-mediated transport"	104	15	5.61	"0.00044"
"GO:1990314"	"cellular response to insulin-like growth factor stimulus"	8	4	0.43	"0.00049"
"GO:0000209"	"protein polyubiquitination"	189	22	10.2	"0.00054"
"GO:0090208"	"positive regulation of triglyceride metabolic process"	29	7	1.57	"0.00071"
"GO:0006886"	"intracellular protein transport"	661	55	35.67	"0.00080"
"GO:0097306"	"cellular response to alcohol"	57	10	3.08	"0.00084"
"GO:0050847"	"progesterone receptor signaling pathway"	9	4	0.49	"0.00085"
"GO:0060736"	"prostate gland growth"	9	4	0.49	"0.00085"
"GO:0006417"	"regulation of translation"	291	29	15.71	"0.00103"
"GO:0032516"	"positive regulation of phosphoprotein phosphatase activity"	16	5	0.86	"0.00119"
"GO:0030299"	"intestinal cholesterol absorption"	10	4	0.54	"0.00136"
"GO:0075525"	"viral translational termination-reinitiation"	5	3	0.27	"0.00144"
"GO:0002834"	"regulation of response to tumor cell"	17	5	0.92	"0.00162"
"GO:0043161"	"proteasome-mediated ubiquitin-dependent protein catabolic pr..."	345	32	18.62	"0.00190"
"GO:0045793"	"positive regulation of cell size"	11	4	0.59	"0.00204"
"GO:0010811"	"positive regulation of cell-substrate adhesion"	111	14	5.99	"0.00252"
