"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"Fisher"
"GO:0002181"	"cytoplasmic translation"	79	15	1.41	"6.7e-12"
"GO:0006412"	"translation"	495	38	8.83	"5.7e-05"
"GO:1902255"	"positive regulation of intrinsic apoptotic signaling pathway..."	7	3	0.12	"0.00019"
"GO:1900210"	"positive regulation of cardiolipin metabolic process"	2	2	0.04	"0.00032"
"GO:0031639"	"plasminogen activation"	24	4	0.43	"0.00079"
"GO:0061945"	"regulation of protein K48-linked ubiquitination"	3	2	0.05	"0.00094"
"GO:0034395"	"regulation of transcription from RNA polymerase II promoter ..."	3	2	0.05	"0.00094"
"GO:0002034"	"maintenance of blood vessel diameter homeostasis by renin-an..."	3	2	0.05	"0.00094"
"GO:2000660"	"negative regulation of interleukin-1-mediated signaling path..."	3	2	0.05	"0.00094"
"GO:0042572"	"retinol metabolic process"	13	3	0.23	"0.00140"
"GO:0006552"	"leucine catabolic process"	4	2	0.07	"0.00185"
"GO:0006574"	"valine catabolic process"	4	2	0.07	"0.00185"
"GO:0008090"	"retrograde axonal transport"	15	3	0.27	"0.00217"
"GO:0042407"	"cristae formation"	15	3	0.27	"0.00217"
"GO:0006457"	"protein folding"	136	8	2.43	"0.00297"
"GO:0015739"	"sialic acid transport"	5	2	0.09	"0.00305"
"GO:0006851"	"mitochondrial calcium ion transmembrane transport"	17	3	0.3	"0.00316"
"GO:1903901"	"negative regulation of viral life cycle"	19	3	0.34	"0.00438"
"GO:0000028"	"ribosomal small subunit assembly"	19	3	0.34	"0.00438"
"GO:0034114"	"regulation of heterotypic cell-cell adhesion"	19	3	0.34	"0.00438"
