"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"Fisher"
"GO:0006749"	"glutathione metabolic process"	37	9	0.7	"2.1e-08"
"GO:0006739"	"NADP metabolic process"	32	6	0.61	"2.6e-05"
"GO:0006707"	"cholesterol catabolic process"	5	3	0.1	"6.6e-05"
"GO:0042744"	"hydrogen peroxide catabolic process"	13	4	0.25	"7.9e-05"
"GO:0009636"	"response to toxic substance"	76	13	1.44	"0.00011"
"GO:1902430"	"negative regulation of amyloid-beta formation"	15	4	0.29	"0.00015"
"GO:0008209"	"androgen metabolic process"	15	4	0.29	"0.00015"
"GO:0006081"	"cellular aldehyde metabolic process"	45	6	0.86	"0.00019"
"GO:0006637"	"acyl-CoA metabolic process"	66	7	1.25	"0.00024"
"GO:0006559"	"L-phenylalanine catabolic process"	8	3	0.15	"0.00035"
"GO:0035973"	"aggrephagy"	8	3	0.15	"0.00035"
"GO:0006982"	"response to lipid hydroperoxide"	2	2	0.04	"0.00036"
"GO:1902998"	"positive regulation of neurofibrillary tangle assembly"	2	2	0.04	"0.00036"
"GO:0010044"	"response to aluminum ion"	2	2	0.04	"0.00036"
"GO:2001213"	"negative regulation of vasculogenesis"	2	2	0.04	"0.00036"
"GO:0019452"	"L-cysteine catabolic process to taurine"	2	2	0.04	"0.00036"
"GO:0098869"	"cellular oxidant detoxification"	19	4	0.36	"0.00039"
"GO:0006635"	"fatty acid beta-oxidation"	63	9	1.2	"0.00039"
"GO:0010907"	"positive regulation of glucose metabolic process"	34	5	0.65	"0.00042"
"GO:1901566"	"organonitrogen compound biosynthetic process"	1087	36	20.65	"0.00058"
