"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"Fisher"
"GO:0036445"	"neuronal stem cell division"	1	1	0	"0.0013"
"GO:0015782"	"CMP-N-acetylneuraminate transmembrane transport"	1	1	0	"0.0013"
"GO:1905020"	"positive regulation of methionine-tRNA ligase activity"	1	1	0	"0.0013"
"GO:1905023"	"positive regulation of threonine-tRNA ligase activity"	1	1	0	"0.0013"
"GO:1905017"	"positive regulation of isoleucine-tRNA ligase activity"	1	1	0	"0.0013"
"GO:1901303"	"negative regulation of cargo loading into COPII-coated vesic..."	2	1	0	"0.0027"
"GO:0036316"	"SREBP-SCAP complex retention in endoplasmic reticulum"	2	1	0	"0.0027"
"GO:1903980"	"positive regulation of microglial cell activation"	3	1	0	"0.0040"
"GO:2000435"	"negative regulation of protein neddylation"	4	1	0.01	"0.0054"
"GO:0032053"	"ciliary basal body organization"	4	1	0.01	"0.0054"
"GO:2001233"	"regulation of apoptotic signaling pathway"	280	3	0.38	"0.0056"
"GO:0034975"	"protein folding in endoplasmic reticulum"	5	1	0.01	"0.0067"
"GO:0019367"	"fatty acid elongation, saturated fatty acid"	5	1	0.01	"0.0067"
"GO:0060363"	"cranial suture morphogenesis"	5	1	0.01	"0.0067"
"GO:0034625"	"fatty acid elongation, monounsaturated fatty acid"	5	1	0.01	"0.0067"
"GO:0034626"	"fatty acid elongation, polyunsaturated fatty acid"	5	1	0.01	"0.0067"
"GO:0090660"	"cerebrospinal fluid circulation"	6	1	0.01	"0.0081"
"GO:0097154"	"GABAergic neuron differentiation"	6	1	0.01	"0.0081"
"GO:0006572"	"tyrosine catabolic process"	6	1	0.01	"0.0081"
"GO:1904667"	"negative regulation of ubiquitin protein ligase activity"	6	1	0.01	"0.0081"
