"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"Fisher"
"GO:0006536"	"glutamate metabolic process"	23	8	0.85	"9.4e-07"
"GO:0033603"	"positive regulation of dopamine secretion"	3	3	0.11	"4.9e-05"
"GO:0015868"	"purine ribonucleotide transport"	15	5	0.55	"0.00015"
"GO:0006633"	"fatty acid biosynthetic process"	108	13	3.97	"0.00016"
"GO:0010038"	"response to metal ion"	190	20	6.99	"0.00018"
"GO:0010907"	"positive regulation of glucose metabolic process"	37	7	1.36	"0.00034"
"GO:0051966"	"regulation of synaptic transmission, glutamatergic"	38	7	1.4	"0.00041"
"GO:0015718"	"monocarboxylic acid transport"	63	9	2.32	"0.00046"
"GO:0048842"	"positive regulation of axon extension involved in axon guida..."	5	3	0.18	"0.00047"
"GO:0006749"	"glutathione metabolic process"	40	9	1.47	"0.00053"
"GO:1905475"	"regulation of protein localization to membrane"	154	15	5.67	"0.00054"
"GO:0042445"	"hormone metabolic process"	112	14	4.12	"0.00062"
"GO:0000422"	"autophagy of mitochondrion"	68	9	2.5	"0.00081"
"GO:0006102"	"isocitrate metabolic process"	6	3	0.22	"0.00091"
"GO:0016236"	"macroautophagy"	217	18	7.99	"0.00109"
"GO:0045821"	"positive regulation of glycolytic process"	14	4	0.52	"0.00135"
"GO:0070602"	"regulation of centromeric sister chromatid cohesion"	2	2	0.07	"0.00135"
"GO:0019452"	"L-cysteine catabolic process to taurine"	2	2	0.07	"0.00135"
"GO:0006097"	"glyoxylate cycle"	2	2	0.07	"0.00135"
"GO:0032849"	"positive regulation of cellular pH reduction"	2	2	0.07	"0.00135"
