"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"Fisher"
"GO:0002181"	"cytoplasmic translation"	79	26	2.16	"9.2e-22"
"GO:0000028"	"ribosomal small subunit assembly"	19	9	0.52	"5.4e-10"
"GO:0006412"	"translation"	484	57	13.22	"1.9e-08"
"GO:0010951"	"negative regulation of endopeptidase activity"	85	12	2.32	"3.0e-06"
"GO:0032981"	"mitochondrial respiratory chain complex I assembly"	49	9	1.34	"5.8e-06"
"GO:0046470"	"phosphatidylcholine metabolic process"	46	7	1.26	"0.00022"
"GO:0000027"	"ribosomal large subunit assembly"	23	5	0.63	"0.00033"
"GO:0061844"	"antimicrobial humoral immune response mediated by antimicrob..."	24	5	0.66	"0.00041"
"GO:0006658"	"phosphatidylserine metabolic process"	14	4	0.38	"0.00044"
"GO:0006695"	"cholesterol biosynthetic process"	37	6	1.01	"0.00045"
"GO:0030300"	"regulation of intestinal cholesterol absorption"	7	3	0.19	"0.00065"
"GO:0061732"	"mitochondrial acetyl-CoA biosynthetic process from pyruvate"	7	3	0.19	"0.00065"
"GO:1902167"	"positive regulation of intrinsic apoptotic signaling pathway..."	2	2	0.05	"0.00074"
"GO:0042450"	"arginine biosynthetic process via ornithine"	2	2	0.05	"0.00074"
"GO:0097250"	"mitochondrial respirasome assembly"	2	2	0.05	"0.00074"
"GO:0030150"	"protein import into mitochondrial matrix"	16	4	0.44	"0.00076"
"GO:0000050"	"urea cycle"	8	3	0.22	"0.00102"
"GO:0044242"	"cellular lipid catabolic process"	171	15	4.67	"0.00131"
"GO:0022904"	"respiratory electron transport chain"	55	9	1.5	"0.00152"
"GO:0090201"	"negative regulation of release of cytochrome c from mitochon..."	19	4	0.52	"0.00152"
