"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"Fisher"
"GO:0036444"	"calcium import into the mitochondrion"	13	2	0.06	"0.0018"
"GO:1902993"	"positive regulation of amyloid precursor protein catabolic p..."	18	2	0.09	"0.0035"
"GO:0016567"	"protein ubiquitination"	525	8	2.59	"0.0039"
"GO:0043318"	"negative regulation of cytotoxic T cell degranulation"	1	1	0	"0.0049"
"GO:1902847"	"regulation of neuronal signal transduction"	1	1	0	"0.0049"
"GO:0008612"	"peptidyl-lysine modification to peptidyl-hypusine"	1	1	0	"0.0049"
"GO:0019102"	"male somatic sex determination"	1	1	0	"0.0049"
"GO:1905892"	"negative regulation of cellular response to thapsigargin"	1	1	0	"0.0049"
"GO:1905895"	"negative regulation of cellular response to tunicamycin"	1	1	0	"0.0049"
"GO:0060520"	"activation of prostate induction by androgen receptor signal..."	1	1	0	"0.0049"
"GO:1900143"	"positive regulation of oligodendrocyte apoptotic process"	1	1	0	"0.0049"
"GO:0045720"	"negative regulation of integrin biosynthetic process"	1	1	0	"0.0049"
"GO:0097435"	"supramolecular fiber organization"	556	8	2.74	"0.0055"
"GO:1902230"	"negative regulation of intrinsic apoptotic signaling pathway..."	23	2	0.11	"0.0056"
"GO:0032436"	"positive regulation of proteasomal ubiquitin-dependent prote..."	75	3	0.37	"0.0060"
"GO:0035308"	"negative regulation of protein dephosphorylation"	27	2	0.13	"0.0077"
"GO:1904562"	"phosphatidylinositol 5-phosphate metabolic process"	2	1	0.01	"0.0098"
"GO:0048808"	"male genitalia morphogenesis"	2	1	0.01	"0.0098"
"GO:0046203"	"spermidine catabolic process"	2	1	0.01	"0.0098"
"GO:0032979"	"protein insertion into mitochondrial inner membrane from mat..."	2	1	0.01	"0.0098"
