"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"Fisher"
"GO:0006548"	"histidine catabolic process"	4	4	0.03	"2.5e-07"
"GO:0006099"	"tricarboxylic acid cycle"	28	4	0.18	"3.0e-05"
"GO:0010142"	"farnesyl diphosphate biosynthetic process, mevalonate pathwa..."	2	2	0.01	"4.2e-05"
"GO:0009071"	"serine family amino acid catabolic process"	13	3	0.09	"7.3e-05"
"GO:0006695"	"cholesterol biosynthetic process"	37	4	0.24	"9.3e-05"
"GO:0010951"	"negative regulation of endopeptidase activity"	85	5	0.56	"0.00022"
"GO:0006121"	"mitochondrial electron transport, succinate to ubiquinone"	4	2	0.03	"0.00025"
"GO:0042866"	"pyruvate biosynthetic process"	6	2	0.04	"0.00062"
"GO:0010518"	"positive regulation of phospholipase activity"	26	3	0.17	"0.00062"
"GO:0009066"	"aspartate family amino acid metabolic process"	26	3	0.17	"0.00062"
"GO:0050892"	"intestinal absorption"	26	3	0.17	"0.00062"
"GO:0009063"	"cellular amino acid catabolic process"	79	12	0.52	"0.00070"
"GO:0050996"	"positive regulation of lipid catabolic process"	28	3	0.18	"0.00078"
"GO:0010873"	"positive regulation of cholesterol esterification"	7	2	0.05	"0.00087"
"GO:0032375"	"negative regulation of cholesterol transport"	7	2	0.05	"0.00087"
"GO:0051289"	"protein homotetramerization"	30	3	0.2	"0.00095"
"GO:0006084"	"acetyl-CoA metabolic process"	31	3	0.2	"0.00105"
"GO:0000050"	"urea cycle"	8	2	0.05	"0.00115"
"GO:0034384"	"high-density lipoprotein particle clearance"	8	2	0.05	"0.00115"
"GO:0046464"	"acylglycerol catabolic process"	34	3	0.22	"0.00138"
