"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"Fisher"
"GO:0033700"	"phospholipid efflux"	13	7	1.08	"2.9e-05"
"GO:0006497"	"protein lipidation"	78	17	6.46	"0.00017"
"GO:0010256"	"endomembrane system organization"	386	51	31.96	"0.00053"
"GO:0046055"	"dGMP catabolic process"	6	4	0.5	"0.00061"
"GO:0006914"	"autophagy"	380	55	31.47	"0.00063"
"GO:0006695"	"cholesterol biosynthetic process"	37	10	3.06	"0.00063"
"GO:0051006"	"positive regulation of lipoprotein lipase activity"	10	5	0.83	"0.00068"
"GO:0033344"	"cholesterol efflux"	44	11	3.64	"0.00071"
"GO:0010898"	"positive regulation of triglyceride catabolic process"	11	5	0.91	"0.00116"
"GO:0030150"	"protein import into mitochondrial matrix"	16	6	1.32	"0.00123"
"GO:0030300"	"regulation of intestinal cholesterol absorption"	7	4	0.58	"0.00133"
"GO:0032375"	"negative regulation of cholesterol transport"	7	4	0.58	"0.00133"
"GO:0000255"	"allantoin metabolic process"	7	4	0.58	"0.00133"
"GO:0010873"	"positive regulation of cholesterol esterification"	7	4	0.58	"0.00133"
"GO:1900026"	"positive regulation of substrate adhesion-dependent cell spr..."	35	9	2.9	"0.00173"
"GO:0046470"	"phosphatidylcholine metabolic process"	49	11	4.06	"0.00184"
"GO:0046098"	"guanine metabolic process"	4	3	0.33	"0.00212"
"GO:0046826"	"negative regulation of protein export from nucleus"	4	3	0.33	"0.00212"
"GO:0015760"	"glucose-6-phosphate transport"	4	3	0.33	"0.00212"
"GO:1902956"	"regulation of mitochondrial electron transport, NADH to ubiq..."	4	3	0.33	"0.00212"
