"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"Fisher"
"GO:0006695"	"cholesterol biosynthetic process"	37	13	3.06	"4.3e-06"
"GO:0006886"	"intracellular protein transport"	661	86	54.73	"1.3e-05"
"GO:1903298"	"negative regulation of hypoxia-induced intrinsic apoptotic s..."	7	5	0.58	"7.0e-05"
"GO:0006084"	"acetyl-CoA metabolic process"	33	13	2.73	"9.1e-05"
"GO:0046889"	"positive regulation of lipid biosynthetic process"	82	17	6.79	"0.00033"
"GO:0016559"	"peroxisome fission"	9	5	0.75	"0.00037"
"GO:0042304"	"regulation of fatty acid biosynthetic process"	41	11	3.39	"0.00037"
"GO:0055089"	"fatty acid homeostasis"	14	6	1.16	"0.00053"
"GO:0019287"	"isopentenyl diphosphate biosynthetic process, mevalonate pat..."	3	3	0.25	"0.00057"
"GO:1990379"	"lipid transport across blood-brain barrier"	6	4	0.5	"0.00061"
"GO:0006534"	"cysteine metabolic process"	11	5	0.91	"0.00116"
"GO:0044248"	"cellular catabolic process"	1607	206	133.07	"0.00133"
"GO:0032489"	"regulation of Cdc42 protein signal transduction"	7	4	0.58	"0.00133"
"GO:0016052"	"carbohydrate catabolic process"	111	19	9.19	"0.00179"
"GO:0010906"	"regulation of glucose metabolic process"	103	18	8.53	"0.00184"
"GO:0030497"	"fatty acid elongation"	12	5	0.99	"0.00186"
"GO:0090208"	"positive regulation of triglyceride metabolic process"	29	8	2.4	"0.00191"
"GO:0015914"	"phospholipid transport"	57	12	4.72	"0.00209"
"GO:0098779"	"positive regulation of mitophagy in response to mitochondria..."	10	6	0.83	"0.00211"
"GO:0007030"	"Golgi organization"	121	20	10.02	"0.00212"
