"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"Fisher"
"GO:0032981"	"mitochondrial respiratory chain complex I assembly"	49	24	3.98	"4.5e-14"
"GO:0006635"	"fatty acid beta-oxidation"	65	22	5.28	"3.3e-09"
"GO:0002181"	"cytoplasmic translation"	79	23	6.42	"3.8e-08"
"GO:0032543"	"mitochondrial translation"	67	20	5.45	"6.8e-06"
"GO:0006412"	"translation"	495	93	40.24	"2.0e-05"
"GO:0006548"	"histidine catabolic process"	4	4	0.33	"4.3e-05"
"GO:0061077"	"chaperone-mediated protein folding"	52	14	4.23	"4.7e-05"
"GO:0006575"	"cellular modified amino acid metabolic process"	122	26	9.92	"0.00024"
"GO:1901607"	"alpha-amino acid biosynthetic process"	45	14	3.66	"0.00030"
"GO:0000050"	"urea cycle"	9	5	0.73	"0.00033"
"GO:0006457"	"protein folding"	136	30	11.05	"0.00053"
"GO:0090297"	"positive regulation of mitochondrial DNA replication"	3	3	0.24	"0.00054"
"GO:1904851"	"positive regulation of establishment of protein localization..."	10	5	0.81	"0.00063"
"GO:0042180"	"cellular ketone metabolic process"	164	26	13.33	"0.00072"
"GO:1990748"	"cellular detoxification"	32	9	2.6	"0.00075"
"GO:0030150"	"protein import into mitochondrial matrix"	16	6	1.3	"0.00112"
"GO:0060620"	"regulation of cholesterol import"	7	4	0.57	"0.00124"
"GO:0031204"	"post-translational protein targeting to membrane, translocat..."	7	4	0.57	"0.00124"
"GO:0006099"	"tricarboxylic acid cycle"	28	8	2.28	"0.00132"
"GO:1901606"	"alpha-amino acid catabolic process"	67	16	5.45	"0.00138"
